Dates,Dates Url,Top 10 Gross,%± LW,Overall Gross,%± LW1,Releases,#1 Release,#1 Release Url,Genre,Budget,Running Time,Week,Week Url,Long Weekend,Country
Apr 4-6,https://www.boxofficemojo.com/weekend/2025W14/?area=TR&ref_=bo_wey_table_9,"$2,768,558",362.40%,"$2,900,902",358%,47,A Minecraft Movie,https://www.boxofficemojo.com/release/rl1849458689/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=TR&ref_=bo_wey_table_9,FALSE,Turkey
Apr 17-20,https://www.boxofficemojo.com/weekend/2025W16/?area=AE&ref_=bo_wey_table_7,"$2,579,172",-39%,"$2,982,160",-35.80%,34,A Minecraft Movie,https://www.boxofficemojo.com/release/rl180453377/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=AE&ref_=bo_wey_table_7,FALSE,UAE
Apr 10-13,https://www.boxofficemojo.com/weekend/2025W15/?area=AE&ref_=bo_wey_table_8,"$4,224,744",-28.50%,"$4,644,881",-22.90%,33,A Minecraft Movie,https://www.boxofficemojo.com/release/rl180453377/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=AE&ref_=bo_wey_table_8,FALSE,UAE
May 8-11,https://www.boxofficemojo.com/weekend/2025W19/?area=SI&ref_=bo_wey_table_4,"$65,914",-19.70%,"$74,742",-13.50%,22,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2386395137/?ref_=bo_wey_table_4,-,-,-,19,https://www.boxofficemojo.com/weekend/2025W19/?area=SI&ref_=bo_wey_table_4,FALSE,Slovenia
May 1-4,https://www.boxofficemojo.com/weekend/2025W18/?area=SI&ref_=bo_wey_table_5,"$82,048",-25.20%,"$86,451",-22.80%,21,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2386395137/?ref_=bo_wey_table_5,-,-,-,18,https://www.boxofficemojo.com/weekend/2025W18/?area=SI&ref_=bo_wey_table_5,FALSE,Slovenia
Apr 24-27,https://www.boxofficemojo.com/weekend/2025W17/?area=SI&ref_=bo_wey_table_6,"$109,724",-0.60%,"$111,954",-1.50%,17,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2386395137/?ref_=bo_wey_table_6,-,-,-,17,https://www.boxofficemojo.com/weekend/2025W17/?area=SI&ref_=bo_wey_table_6,FALSE,Slovenia
Apr 17-20,https://www.boxofficemojo.com/weekend/2025W16/?area=SI&ref_=bo_wey_table_7,"$110,432",-27.50%,"$113,629",-29.10%,18,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2386395137/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=SI&ref_=bo_wey_table_7,FALSE,Slovenia
Apr 10-13,https://www.boxofficemojo.com/weekend/2025W15/?area=SI&ref_=bo_wey_table_8,"$152,316",-30.40%,"$160,231",-31.50%,23,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2386395137/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=SI&ref_=bo_wey_table_8,FALSE,Slovenia
Apr 3-6,https://www.boxofficemojo.com/weekend/2025W14/?area=SI&ref_=bo_wey_table_9,"$218,708",67%,"$233,999",55.30%,25,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2386395137/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=SI&ref_=bo_wey_table_9,FALSE,Slovenia
May 8-11,https://www.boxofficemojo.com/weekend/2025W19/?area=SK&ref_=bo_wey_table_4,"$289,599",-12.50%,"$334,704",-6.10%,21,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3426582529/?ref_=bo_wey_table_4,-,-,-,19,https://www.boxofficemojo.com/weekend/2025W19/?area=SK&ref_=bo_wey_table_4,FALSE,Slovakia
Apr 24-27,https://www.boxofficemojo.com/weekend/2025W17/?area=SK&ref_=bo_wey_table_6,"$387,195",-23.20%,"$417,595",-20.30%,20,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3426582529/?ref_=bo_wey_table_6,-,-,-,17,https://www.boxofficemojo.com/weekend/2025W17/?area=SK&ref_=bo_wey_table_6,FALSE,Slovakia
Apr 17-20,https://www.boxofficemojo.com/weekend/2025W16/?area=SK&ref_=bo_wey_table_7,"$504,162",-38.10%,"$523,953",-37.70%,20,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3426582529/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=SK&ref_=bo_wey_table_7,FALSE,Slovakia
Apr 10-13,https://www.boxofficemojo.com/weekend/2025W15/?area=SK&ref_=bo_wey_table_8,"$814,023",-22.70%,"$840,624",-24.40%,21,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3426582529/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=SK&ref_=bo_wey_table_8,FALSE,Slovakia
Apr 3-6,https://www.boxofficemojo.com/weekend/2025W14/?area=SK&ref_=bo_wey_table_9,"$1,052,996",212.50%,"$1,111,813",188.50%,24,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3426582529/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=SK&ref_=bo_wey_table_9,FALSE,Slovakia
Apr 11-13,https://www.boxofficemojo.com/weekend/2025W15/?area=RO&ref_=bo_wey_table_8,"$824,083",-33%,"$882,662",-32.30%,39,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3242033153/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=RO&ref_=bo_wey_table_8,FALSE,Romania
Apr 4-6,https://www.boxofficemojo.com/weekend/2025W14/?area=RO&ref_=bo_wey_table_9,"$1,229,363",118.90%,"$1,304,727",90.40%,42,A Minecraft Movie,https://www.boxofficemojo.com/release/rl3242033153/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=RO&ref_=bo_wey_table_9,FALSE,Romania
Apr 18-20,https://www.boxofficemojo.com/weekend/2025W16/?area=PL&ref_=bo_wey_table_7,"$686,872",-82.10%,"$697,831",-82.10%,16,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2738651137/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=PL&ref_=bo_wey_table_7,FALSE,Poland
Apr 11-13,https://www.boxofficemojo.com/weekend/2025W15/?area=PL&ref_=bo_wey_table_8,"$3,837,597",-40.30%,"$3,892,716",-40.80%,20,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2738651137/?ref_=bo_wey_table_8,-,-,-,15,https://www.boxofficemojo.com/weekend/2025W15/?area=PL&ref_=bo_wey_table_8,FALSE,Poland
Apr 4-6,https://www.boxofficemojo.com/weekend/2025W14/?area=PL&ref_=bo_wey_table_9,"$6,432,567",482%,"$6,580,126",439.80%,23,A Minecraft Movie,https://www.boxofficemojo.com/release/rl2738651137/?ref_=bo_wey_table_9,-,-,-,14,https://www.boxofficemojo.com/weekend/2025W14/?area=PL&ref_=bo_wey_table_9,FALSE,Poland
Apr 17-20,https://www.boxofficemojo.com/weekend/2025W16/?area=PT&ref_=bo_wey_table_7,"$1,092,682",1931.30%,"$1,179,730",2093.20%,37,A Minecraft Movie,https://www.boxofficemojo.com/release/rl4097605633/?ref_=bo_wey_table_7,-,-,-,16,https://www.boxofficemojo.com/weekend/2025W16/?area=PT&ref_=bo_wey_table_7,FALSE,Portugal
