Dates,Top 10 Gross,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Genre,Week Url,Long Weekend,Country,Formatted_Date,Month,Year,OMDB_Runtime,OMDB_Genre,OMDB_imdbID,OMDB_Budget
Apr 10-13,4247.0,-0.984,4247.0,-0.984,2,Anora,"Comedy, Drama, Romance",https://www.boxofficemojo.com/weekend/2025W15/?area=IL&ref_=bo_wey_table_8,False,Israel,2025-04-10,April,2025.0,139 min,"Comedy, Drama, Romance",tt28607951,"$20,474,295"
Mar 27-30,14136.0,-0.926,14136.0,-0.926,5,Anora,"Comedy, Drama, Romance",https://www.boxofficemojo.com/weekend/2025W13/?area=IL&ref_=bo_wey_table_10,False,Israel,2025-03-27,March,2025.0,139 min,"Comedy, Drama, Romance",tt28607951,"$20,474,295"
Mar 14-16,5773.0,-0.057,5773.0,-0.057,3,Anora,"Comedy, Drama, Romance",https://www.boxofficemojo.com/weekend/2025W11/?area=VE&ref_=bo_wey_table_12,False,Venezuela,2025-03-14,March,2025.0,139 min,"Comedy, Drama, Romance",tt28607951,"$20,474,295"
Mar 20-23,17601.0,-0.418,17601.0,-0.418,8,Anora,"Comedy, Drama, Romance",https://www.boxofficemojo.com/weekend/2025W12/?area=UY&ref_=bo_wey_table_11,False,Uruguay,2025-03-20,March,2025.0,139 min,"Comedy, Drama, Romance",tt28607951,"$20,474,295"
Mar 13-16,30256.0,-0.428,30256.0,-0.428,8,Anora,"Comedy, Drama, Romance",https://www.boxofficemojo.com/weekend/2025W11/?area=UY&ref_=bo_wey_table_12,False,Uruguay,2025-03-13,March,2025.0,139 min,"Comedy, Drama, Romance",tt28607951,"$20,474,295"
Mar 6-9,52879.0,0.452,52879.0,0.452,10,Anora,"Comedy, Drama, Romance",https://www.boxofficemojo.com/weekend/2025W10/?area=UY&ref_=bo_wey_table_13,False,Uruguay,2025-03-06,March,2025.0,139 min,"Comedy, Drama, Romance",tt28607951,"$20,474,295"
Jan 23-26,26683.0,0.852,26683.0,0.852,9,Anora,"Comedy, Drama, Romance",https://www.boxofficemojo.com/weekend/2025W04/?area=UY&ref_=bo_wey_table_19,False,Uruguay,2025-01-23,January,2025.0,139 min,"Comedy, Drama, Romance",tt28607951,"$20,474,295"
Feb 21-23,1781607.0,-0.245,1971067.0,-0.238,51,Ask Sadece Bir An,Romance,https://www.boxofficemojo.com/weekend/2025W08/?area=TR&ref_=bo_wey_table_15,False,Turkey,2025-02-21,February,2025.0,112 min,Romance,tt35518081,N/A
Feb 14-16,2360091.0,0.508,2585698.0,0.401,38,Ask Sadece Bir An,Romance,https://www.boxofficemojo.com/weekend/2025W07/?area=TR&ref_=bo_wey_table_16,False,Turkey,2025-02-14,February,2025.0,112 min,Romance,tt35518081,N/A
Jan 2-5,311630.0,-0.675,311630.0,-0.675,5,Babygirl,"Drama, Romance, Thriller",https://www.boxofficemojo.com/weekend/2025W01/?area=IL&ref_=bo_wey_table_22,False,Israel,2025-01-02,January,2025.0,114 min,"Drama, Romance, Thriller",tt30057084,"$28,196,732"
Jan 30-Feb 2,348430.0,-0.096,348430.0,-0.096,7,Babygirl,"Drama, Romance, Thriller",https://www.boxofficemojo.com/weekend/2025W05/?area=UA&ref_=bo_wey_table_18,False,Ukraine,,,,114 min,"Drama, Romance, Thriller",tt30057084,"$28,196,732"
Jan 23-26,385586.0,2.27,385586.0,2.27,6,Babygirl,"Drama, Romance, Thriller",https://www.boxofficemojo.com/weekend/2025W04/?area=UA&ref_=bo_wey_table_19,False,Ukraine,2025-01-23,January,2025.0,114 min,"Drama, Romance, Thriller",tt30057084,"$28,196,732"
May 22-25,1500.0,0.62,1500.0,0.62,2,Black Bag,"Drama, Mystery, Romance",https://www.boxofficemojo.com/weekend/2025W21/?area=GR&ref_=bo_wey_table_2,False,Greece,2025-05-22,May,2025.0,93 min,"Drama, Mystery, Romance",tt30988739,"$21,474,035"
May 15-18,926.0,-0.748,926.0,-0.748,3,Black Bag,"Drama, Mystery, Romance",https://www.boxofficemojo.com/weekend/2025W20/?area=GR&ref_=bo_wey_table_3,False,Greece,2025-05-15,May,2025.0,93 min,"Drama, Mystery, Romance",tt30988739,"$21,474,035"
May 8-11,3670.0,-0.392,3670.0,-0.392,1,Black Bag,"Drama, Mystery, Romance",https://www.boxofficemojo.com/weekend/2025W19/?area=GR&ref_=bo_wey_table_4,False,Greece,2025-05-08,May,2025.0,93 min,"Drama, Mystery, Romance",tt30988739,"$21,474,035"
May 1-4,6037.0,0.278,6037.0,0.278,4,Black Bag,"Drama, Mystery, Romance",https://www.boxofficemojo.com/weekend/2025W18/?area=GR&ref_=bo_wey_table_5,False,Greece,2025-05-01,May,2025.0,93 min,"Drama, Mystery, Romance",tt30988739,"$21,474,035"
Apr 10-13,15542.0,-0.925,15542.0,-0.925,4,Black Bag,"Drama, Mystery, Romance",https://www.boxofficemojo.com/weekend/2025W15/?area=GR&ref_=bo_wey_table_8,False,Greece,2025-04-10,April,2025.0,93 min,"Drama, Mystery, Romance",tt30988739,"$21,474,035"
Mar 27-30,69306.0,-0.46,69306.0,-0.46,6,Black Bag,"Drama, Mystery, Romance",https://www.boxofficemojo.com/weekend/2025W13/?area=GR&ref_=bo_wey_table_10,False,Greece,2025-03-27,March,2025.0,93 min,"Drama, Mystery, Romance",tt30988739,"$21,474,035"
