Rank,%± LW,Overall Gross,%± LW1,Releases,#1 Release,Long Weekend,Country,Formatted_Date,Month,Year,Runtime,Genre,IMDb_ID,Budget
922126,-0.194,1082579,-0.125,55,A Minecraft Movie,FALSE,Turkey,25-04-2025,April,2025,101,Action,tt3566834,409163240
922126,-0.194,1082579,-0.125,55,A Minecraft Movie,FALSE,Turkey,25-04-2025,April,2025,101,Adventure,tt3566834,409163240
922126,-0.194,1082579,-0.125,55,A Minecraft Movie,FALSE,Turkey,25-04-2025,April,2025,101,Comedy,tt3566834,409163240
1143601,-0.444,1237190,-0.424,44,A Minecraft Movie,FALSE,Turkey,18-04-2025,April,2025,101,Action,tt3566834,409163240
1143601,-0.444,1237190,-0.424,44,A Minecraft Movie,FALSE,Turkey,18-04-2025,April,2025,101,Adventure,tt3566834,409163240
1143601,-0.444,1237190,-0.424,44,A Minecraft Movie,FALSE,Turkey,18-04-2025,April,2025,101,Comedy,tt3566834,409163240
2055596,-0.258,2147946,-0.26,56,A Minecraft Movie,FALSE,Turkey,11-04-2025,April,2025,101,Action,tt3566834,409163240
2055596,-0.258,2147946,-0.26,56,A Minecraft Movie,FALSE,Turkey,11-04-2025,April,2025,101,Adventure,tt3566834,409163240
2055596,-0.258,2147946,-0.26,56,A Minecraft Movie,FALSE,Turkey,11-04-2025,April,2025,101,Comedy,tt3566834,409163240
2768558,3.624,2900902,3.58,47,A Minecraft Movie,FALSE,Turkey,04-04-2025,April,2025,101,Action,tt3566834,409163240
2768558,3.624,2900902,3.58,47,A Minecraft Movie,FALSE,Turkey,04-04-2025,April,2025,101,Adventure,tt3566834,409163240
2768558,3.624,2900902,3.58,47,A Minecraft Movie,FALSE,Turkey,04-04-2025,April,2025,101,Comedy,tt3566834,409163240
2579172,-0.39,2982160,-0.358,34,A Minecraft Movie,FALSE,UAE,17-04-2025,April,2025,101,Action,tt3566834,409163240
2579172,-0.39,2982160,-0.358,34,A Minecraft Movie,FALSE,UAE,17-04-2025,April,2025,101,Adventure,tt3566834,409163240
2579172,-0.39,2982160,-0.358,34,A Minecraft Movie,FALSE,UAE,17-04-2025,April,2025,101,Comedy,tt3566834,409163240
4224744,-0.285,4644881,-0.229,33,A Minecraft Movie,FALSE,UAE,10-04-2025,April,2025,101,Action,tt3566834,409163240
4224744,-0.285,4644881,-0.229,33,A Minecraft Movie,FALSE,UAE,10-04-2025,April,2025,101,Adventure,tt3566834,409163240
4224744,-0.285,4644881,-0.229,33,A Minecraft Movie,FALSE,UAE,10-04-2025,April,2025,101,Comedy,tt3566834,409163240
65914,-0.197,74742,-0.135,22,A Minecraft Movie,FALSE,Slovenia,08-05-2025,May,2025,101,Action,tt3566834,409163240
65914,-0.197,74742,-0.135,22,A Minecraft Movie,FALSE,Slovenia,08-05-2025,May,2025,101,Adventure,tt3566834,409163240
65914,-0.197,74742,-0.135,22,A Minecraft Movie,FALSE,Slovenia,08-05-2025,May,2025,101,Comedy,tt3566834,409163240
82048,-0.252,86451,-0.228,21,A Minecraft Movie,FALSE,Slovenia,01-05-2025,May,2025,101,Action,tt3566834,409163240
82048,-0.252,86451,-0.228,21,A Minecraft Movie,FALSE,Slovenia,01-05-2025,May,2025,101,Adventure,tt3566834,409163240
82048,-0.252,86451,-0.228,21,A Minecraft Movie,FALSE,Slovenia,01-05-2025,May,2025,101,Comedy,tt3566834,409163240
109724,-0.006,111954,-0.015,17,A Minecraft Movie,FALSE,Slovenia,24-04-2025,April,2025,101,Action,tt3566834,409163240
109724,-0.006,111954,-0.015,17,A Minecraft Movie,FALSE,Slovenia,24-04-2025,April,2025,101,Adventure,tt3566834,409163240
109724,-0.006,111954,-0.015,17,A Minecraft Movie,FALSE,Slovenia,24-04-2025,April,2025,101,Comedy,tt3566834,409163240
110432,-0.275,113629,-0.291,18,A Minecraft Movie,FALSE,Slovenia,17-04-2025,April,2025,101,Action,tt3566834,409163240
110432,-0.275,113629,-0.291,18,A Minecraft Movie,FALSE,Slovenia,17-04-2025,April,2025,101,Adventure,tt3566834,409163240
110432,-0.275,113629,-0.291,18,A Minecraft Movie,FALSE,Slovenia,17-04-2025,April,2025,101,Comedy,tt3566834,409163240
152316,-0.304,160231,-0.315,23,A Minecraft Movie,FALSE,Slovenia,10-04-2025,April,2025,101,Action,tt3566834,409163240
152316,-0.304,160231,-0.315,23,A Minecraft Movie,FALSE,Slovenia,10-04-2025,April,2025,101,Adventure,tt3566834,409163240
152316,-0.304,160231,-0.315,23,A Minecraft Movie,FALSE,Slovenia,10-04-2025,April,2025,101,Comedy,tt3566834,409163240
218708,0.67,233999,0.553,25,A Minecraft Movie,FALSE,Slovenia,03-04-2025,April,2025,101,Action,tt3566834,409163240
218708,0.67,233999,0.553,25,A Minecraft Movie,FALSE,Slovenia,03-04-2025,April,2025,101,Adventure,tt3566834,409163240
218708,0.67,233999,0.553,25,A Minecraft Movie,FALSE,Slovenia,03-04-2025,April,2025,101,Comedy,tt3566834,409163240
289599,-0.125,334704,-0.061,21,A Minecraft Movie,FALSE,Slovakia,08-05-2025,May,2025,101,Action,tt3566834,409163240
289599,-0.125,334704,-0.061,21,A Minecraft Movie,FALSE,Slovakia,08-05-2025,May,2025,101,Adventure,tt3566834,409163240
289599,-0.125,334704,-0.061,21,A Minecraft Movie,FALSE,Slovakia,08-05-2025,May,2025,101,Comedy,tt3566834,409163240
387195,-0.232,417595,-0.203,20,A Minecraft Movie,FALSE,Slovakia,24-04-2025,April,2025,101,Action,tt3566834,409163240
387195,-0.232,417595,-0.203,20,A Minecraft Movie,FALSE,Slovakia,24-04-2025,April,2025,101,Adventure,tt3566834,409163240
387195,-0.232,417595,-0.203,20,A Minecraft Movie,FALSE,Slovakia,24-04-2025,April,2025,101,Comedy,tt3566834,409163240
504162,-0.381,523953,-0.377,20,A Minecraft Movie,FALSE,Slovakia,17-04-2025,April,2025,101,Action,tt3566834,409163240
